Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval)
Southern hemisphere,,1951,0.16760908,0.01188627,0.3233319
Southern hemisphere,,1952,0.3046579,0.13533264,0.47398317
Southern hemisphere,,1953,0.29244858,0.12552133,0.45937583
Southern hemisphere,,1954,0.14138348,-0.015437781,0.29820475
Southern hemisphere,,1955,0.074733764,-0.07220879,0.22167629
Southern hemisphere,,1956,0.09656432,-0.020492733,0.21362138
Southern hemisphere,,1957,0.30886415,0.21223094,0.40549737
Southern hemisphere,,1958,0.22580537,0.12127426,0.33033648
Southern hemisphere,,1959,0.20068087,0.09931347,0.30204824
Southern hemisphere,,1960,0.112450525,0.018211275,0.20668976
Southern hemisphere,,1961,0.3104974,0.22593214,0.39506266
Southern hemisphere,,1962,0.16747507,0.07684788,0.25810227
Southern hemisphere,,1963,0.19978075,0.11051276,0.28904873
Southern hemisphere,,1964,-0.006954848,-0.07701692,0.06310722
Southern hemisphere,,1965,0.1300579,0.051459342,0.20865646
Southern hemisphere,,1966,0.13493095,0.058955997,0.21090591
Southern hemisphere,,1967,0.14782028,0.07695079,0.21868977
Southern hemisphere,,1968,0.14570934,0.06933913,0.22207956
Southern hemisphere,,1969,0.38133177,0.31509417,0.4475694
Southern hemisphere,,1970,0.29613784,0.22353855,0.36873713
Southern hemisphere,,1971,0.16095105,0.09532583,0.22657627
Southern hemisphere,,1972,0.40606686,0.33892703,0.47320673
Southern hemisphere,,1973,0.42206517,0.3566273,0.48750302
Southern hemisphere,,1974,0.24834637,0.1836595,0.31303325
Southern hemisphere,,1975,0.23313996,0.16180898,0.30447096
Southern hemisphere,,1976,0.163955,0.09124559,0.2366644
Southern hemisphere,,1977,0.47097278,0.3972068,0.54473877
Southern hemisphere,,1978,0.36617467,0.29686743,0.43548194
Southern hemisphere,,1979,0.4944014,0.447525,0.5412778
Southern hemisphere,,1980,0.59660333,0.5409901,0.6522165
Southern hemisphere,,1981,0.5038271,0.45183957,0.55581456
Southern hemisphere,,1982,0.42218092,0.3544968,0.48986503
Southern hemisphere,,1983,0.59917223,0.5377048,0.66063964
Southern hemisphere,,1984,0.46937495,0.40751997,0.5312299
Southern hemisphere,,1985,0.49525252,0.43804756,0.55245745
Southern hemisphere,,1986,0.47312266,0.42114913,0.5250961
Southern hemisphere,,1987,0.6341041,0.5842249,0.6839832
Southern hemisphere,,1988,0.5924084,0.5340725,0.6507444
Southern hemisphere,,1989,0.48489955,0.42662066,0.54317844
Southern hemisphere,,1990,0.60094404,0.5395379,0.6623501
Southern hemisphere,,1991,0.6363683,0.5780462,0.69469035
Southern hemisphere,,1992,0.49665067,0.4404767,0.5528246
Southern hemisphere,,1993,0.4827357,0.41850898,0.54696244
Southern hemisphere,,1994,0.48764005,0.42894945,0.54633063
Southern hemisphere,,1995,0.5288624,0.47412014,0.58360475
Southern hemisphere,,1996,0.6053962,0.5500952,0.66069716
Southern hemisphere,,1997,0.6536627,0.6015974,0.705728
Southern hemisphere,,1998,0.7841584,0.72874373,0.83957314
Southern hemisphere,,1999,0.516373,0.46494102,0.56780493
Southern hemisphere,,2000,0.5188597,0.46512967,0.5725897
Southern hemisphere,,2001,0.6940839,0.64129335,0.7468745
Southern hemisphere,,2002,0.76198494,0.71195006,0.8120199
Southern hemisphere,,2003,0.71163493,0.65683854,0.7664313
Southern hemisphere,,2004,0.6450178,0.59225416,0.6977814
Southern hemisphere,,2005,0.7260918,0.6801454,0.7720383
Southern hemisphere,,2006,0.6941107,0.64665806,0.7415633
Southern hemisphere,,2007,0.6950664,0.6500801,0.7400527
Southern hemisphere,,2008,0.60336167,0.55202943,0.65469396
Southern hemisphere,,2009,0.83058983,0.78272915,0.8784506
Southern hemisphere,,2010,0.7850094,0.73731065,0.8327081
Southern hemisphere,,2011,0.6938156,0.64345527,0.7441759
Southern hemisphere,,2012,0.7146487,0.6610313,0.76826614
Southern hemisphere,,2013,0.8142427,0.7598211,0.8686644
Southern hemisphere,,2014,0.7817155,0.72760195,0.8358291
Southern hemisphere,,2015,0.8631544,0.81478715,0.9115217
Southern hemisphere,,2016,0.9544275,0.905457,1.0033978
Southern hemisphere,,2017,0.91871786,0.8700648,0.9673709
Southern hemisphere,,2018,0.90941256,0.8603358,0.9584893
Southern hemisphere,,2019,0.98216796,0.929233,1.035103
Southern hemisphere,,2020,0.9136977,0.8615165,0.96587896
Southern hemisphere,,2021,0.78938454,0.7359423,0.8428268
Southern hemisphere,,2022,0.846575,0.7920848,0.90106523
Southern hemisphere,,2023,1.1305256,1.0738524,1.1871989
Southern hemisphere,,2024,1.1562582,1.1026486,1.2098677
Southern hemisphere,,2025,1.1676264,1.0327518,1.302501
World,OWID_WRL,1850,-0.05541366,-0.22695872,0.11613145
World,OWID_WRL,1851,0.12894794,-0.04957017,0.30746606
World,OWID_WRL,1852,0.13289867,-0.047084685,0.31288204
World,OWID_WRL,1853,0.0919433,-0.067711584,0.2515982
World,OWID_WRL,1854,0.07077692,-0.07041376,0.21196756
World,OWID_WRL,1855,0.065381,-0.077021025,0.207783
World,OWID_WRL,1856,0.04194403,-0.105795465,0.18968354
World,OWID_WRL,1857,-0.1049323,-0.25402442,0.044159804
World,OWID_WRL,1858,-0.026467945,-0.1745883,0.12165243
World,OWID_WRL,1859,0.08103258,-0.061623093,0.22368824
World,OWID_WRL,1860,-0.027867433,-0.17667887,0.120944
World,OWID_WRL,1861,-0.06681519,-0.23470327,0.101072915
World,OWID_WRL,1862,-0.17407164,-0.3413622,-0.006781038
World,OWID_WRL,1863,0.018053684,-0.17173901,0.20784633
World,OWID_WRL,1864,-0.10316732,-0.2857953,0.07946063
World,OWID_WRL,1865,0.029816423,-0.16215917,0.22179197
World,OWID_WRL,1866,0.021010254,-0.15950313,0.2015236
World,OWID_WRL,1867,0.005303625,-0.19072548,0.2013327
World,OWID_WRL,1868,0.010470603,-0.16718099,0.18812214
World,OWID_WRL,1869,0.0457058,-0.1141656,0.20557718
World,OWID_WRL,1870,0.034370217,-0.106401704,0.17514217
World,OWID_WRL,1871,-0.0062650107,-0.15183541,0.1393054
World,OWID_WRL,1872,0.03418717,-0.10087227,0.1692466
World,OWID_WRL,1873,0.021000836,-0.110203885,0.15220557
World,OWID_WRL,1874,-0.010953452,-0.14484486,0.122937955
World,OWID_WRL,1875,-0.013328191,-0.15174326,0.12508689
World,OWID_WRL,1876,-0.06181216,-0.20057341,0.07694907
World,OWID_WRL,1877,0.2611889,0.13247773,0.3899001
World,OWID_WRL,1878,0.35098255,0.23108517,0.47087994
World,OWID_WRL,1879,0.05866343,-0.07176661,0.18909344
World,OWID_WRL,1880,0.0464657,-0.077853166,0.17078453
World,OWID_WRL,1881,0.13005222,0.0043627657,0.2557417
World,OWID_WRL,1882,0.06676767,-0.057852354,0.19138768
World,OWID_WRL,1883,0.015823338,-0.09851994,0.13016662
World,OWID_WRL,1884,-0.13002232,-0.24037084,-0.01967379
World,OWID_WRL,1885,-0.108825825,-0.22077045,0.003118787
World,OWID_WRL,1886,-0.058605876,-0.16024044,0.043028716
World,OWID_WRL,1887,-0.13648802,-0.25426212,-0.018713918
World,OWID_WRL,1888,-0.017081138,-0.13102603,0.096863754
World,OWID_WRL,1889,0.11240219,-0.009923186,0.23472758
World,OWID_WRL,1890,-0.14456043,-0.27011177,-0.01900905
World,OWID_WRL,1891,-0.039017197,-0.17507216,0.09703777
World,OWID_WRL,1892,-0.14526078,-0.2820308,-0.008490767
World,OWID_WRL,1893,-0.13232148,-0.26923367,0.0045907237
World,OWID_WRL,1894,-0.12146618,-0.26327035,0.020338003
World,OWID_WRL,1895,-0.08645385,-0.2197229,0.04681516
World,OWID_WRL,1896,0.07829047,-0.055103716,0.21168467
World,OWID_WRL,1897,0.102497585,-0.036226507,0.24122168
World,OWID_WRL,1898,-0.12349438,-0.25535145,0.008362714
World,OWID_WRL,1899,0.0068641044,-0.12409919,0.13782738
World,OWID_WRL,1900,0.12780385,-0.0041721426,0.25977984
World,OWID_WRL,1901,0.06888751,-0.06596842,0.20374341
World,OWID_WRL,1902,-0.07665878,-0.21101043,0.05769286
World,OWID_WRL,1903,-0.17098936,-0.2957559,-0.046222802
World,OWID_WRL,1904,-0.23521331,-0.3626584,-0.10776823
World,OWID_WRL,1905,-0.045495477,-0.1681318,0.077140845
World,OWID_WRL,1906,0.043188963,-0.082627855,0.16900577
World,OWID_WRL,1907,-0.14177856,-0.2576625,-0.025894579
World,OWID_WRL,1908,-0.15152195,-0.26781717,-0.03522673
World,OWID_WRL,1909,-0.1733894,-0.281558,-0.065220825
World,OWID_WRL,1910,-0.16861174,-0.28317365,-0.054049846
World,OWID_WRL,1911,-0.17678127,-0.28875878,-0.0648038
World,OWID_WRL,1912,-0.11324089,-0.21602777,-0.010454025
World,OWID_WRL,1913,-0.10471334,-0.21492115,0.0054944493
World,OWID_WRL,1914,0.09986118,-0.007714685,0.20743702
World,OWID_WRL,1915,0.17062555,0.0530932,0.2881579
World,OWID_WRL,1916,-0.057725396,-0.18303618,0.06758536
World,OWID_WRL,1917,-0.18052194,-0.3149452,-0.046098705
World,OWID_WRL,1918,-0.062066343,-0.2039819,0.07984919
World,OWID_WRL,1919,0.037008677,-0.101366095,0.17538346
World,OWID_WRL,1920,0.06394268,-0.06878295,0.19666828
World,OWID_WRL,1921,0.121853404,-0.0022110902,0.2459179
World,OWID_WRL,1922,0.023284052,-0.08738526,0.13395336
World,OWID_WRL,1923,0.04461587,-0.06376635,0.1529981
World,OWID_WRL,1924,0.050496046,-0.05811354,0.15910564
World,OWID_WRL,1925,0.08015577,-0.032653686,0.19296521
World,OWID_WRL,1926,0.23974274,0.13145065,0.34803483
